Trial,N,Source,Drug,Target,Cancer type,No. of treated patients,Dose,cutoff for all grade,cutoff for grades 3 or higher,All Grade,Grade 3-5,Infusion-related reaction (All Grade),Infusion-related reaction (Grade 3-5),Hypersensitivity (All Grade),Hypersensitivity (Grade 3-5),Influenza-like illness (All Grade),Influenza-like illness (Grade 3-5),Pyrexia (All Grade),Pyrexia (Grade 3-5),Chills (All Grade),Chills (Grade 3-5),Fatigue (All Grade),Fatigue (Grade 3-5),Pruritus (All Grade),Pruritus (Grade 3-5),Weight decreased (All Grade),Weight decreased (Grade 3-5),Insomnia (All Grade),Insomnia (Grade 3-5),Malaise (All Grade),Malaise (Grade 3-5),Uveitis (All Grade),Uveitis (Grade 3-5),Dry mouth (All Grade),Dry mouth (Grade 3-5),Stomatitis (All Grade),Stomatitis (Grade 3-5),Mucosal inflammation   (All Grade),Mucosal inflammation   (Grade 3-5),Hypertension (All Grade),Hypertension (Grade 3-5),Hypotension (All Grade),Hypotension (Grade 3-5),Edema peripheral (All Grade),Edema peripheral (Grade 3-5),Pneumonitis (All Grade),Pneumonitis (Grade 3-5),Dyspnea (All Grade),Dyspnea (Grade 3-5),Cough (All Grade),Cough (Grade 3-5),Pneumonia (All Grade),Pneumonia (Grade 3-5),Hypoxia (All Grade),Hypoxia (Grade 3-5),Decreased appetite (All Grade),Decreased appetite (Grade 3-5),Dehydration (All Grade),Dehydration (Grade 3-5),Nausea (All Grade),Nausea (Grade 3-5),Vomiting (All Grade),Vomiting (Grade 3-5),Diarrhea (All Grade),Diarrhea (Grade 3-5),Constipation (All Grade),Constipation (Grade 3-5),Abdominal pain (All Grade),Abdominal pain (Grade 3-5),Colitis (All Grade),Colitis (Grade 3-5),Alanine aminotransferase increased (ALT) (All Grade),Alanine aminotransferase increased (ALT) (Grade 3-5),Aspartate aminotransferase increased (AST) (All Grade),Aspartate aminotransferase increased (AST) (Grade 3-5),Blood alkaline phosphatase increased  (ALP) (All Grade),Blood alkaline phosphatase increased  (ALP) (Grade 3-5),?-Glutamyl transferase increased (GGT) (All Grade),?-Glutamyl transferase increased (GGT) (Grade 3-5),Pancreatitis   (All Grade),Pancreatitis   (Grade 3-5),Lipase increased (All Grade),Lipase increased (Grade 3-5),Amylase increased (All Grade),Amylase increased (Grade 3-5),Bilirubin increase (All Grade),Bilirubin increase (Grade 3-5),Hepatitis (All Grade),Hepatitis (Grade 3-5),Increased transaminases (All Grade),Increased transaminases (Grade 3-5),Pain (All Grade),Pain (Grade 3-5),Myalgia (All Grade),Myalgia (Grade 3-5),Pain in extremity (All Grade),Pain in extremity (Grade 3-5),Back pain (All Grade),Back pain (Grade 3-5),Arthralgia (All Grade),Arthralgia (Grade 3-5),Rash (All Grade),Rash (Grade 3-5),Rash maculo-papular (All Grade),Rash maculo-papular (Grade 3-5),Erythema (All Grade),Erythema (Grade 3-5),Dry skin (All Grade),Dry skin (Grade 3-5),Vitiligo (All Grade),Vitiligo (Grade 3-5),Alopecia   (All Grade),Alopecia  (Grade 3-5),Headache (All Grade),Headache (Grade 3-5),Dizziness (All Grade),Dizziness (Grade 3-5),Asthenia (All Grade),Asthenia (Grade 3-5),Dysgeusia (All Grade),Dysgeusia (Grade 3-5),Peripheral neuropathy (All Grade),Peripheral neuropathy (Grade 3-5),Thyroiditis (All Grade),Thyroiditis (Grade 3-5),Hypothyroidism (All Grade),Hypothyroidism (Grade 3-5),Hyperthyroidism (All Grade),Hyperthyroidism (Grade 3-5),Blood thyroid-stimulating hormone (TSH) decreased (All Grade),Blood thyroid-stimulating hormone (TSH) decreased (Grade 3-5),Blood thyroid-stimulating (TSH) hormone increased (All Grade),Blood thyroid-stimulating hormone (TSH) increased (Grade 3-5),Hypophysitis (All Grade),Hypophysitis (Grade 3-5),Adrenal insufficiency (All Grade),Adrenal insufficiency (Grade 3-5),Type 1 diabetes (All Grade),Type 1 diabetes (Grade 3-5),Hypopituitarism (All Grade),Hypopituitarism (Grade 3-5),Hyperglycemia (All Grade),Hyperglycemia (Grade 3-5),Autoimmune thyroiditis (All Grade),Autoimmune thyroiditis (Grade 3-5),Blood creatinine increased (All Grade),Blood creatinine increased (Grade 3-5),White blood cell decreased (All Grade),White blood cell decreased (Grade 3-5),Platelet count decreased (All Grade),Platelet count decreased (Grade 3-5),Anemia (All Grade),Anemia (Grade 3-5),Lymphopenia (All Grade),Lymphopenia (Grade 3-5),Neutropenia (All Grade),Neutropenia (Grade 3-5),Hyponatremia (All Grade),Hyponatremia (Grade 3-5),Hypophosphatemia (All Grade),Hypophosphatemia (Grade 3-5)
24,330,2017-Kang-Lancet,Nivolumab,PD-1,GI cancer,330,3 mg/kg Q2W,6,6,141,34,,,,,,,8,1,,,18,2,30,0,,,,,13,0,,,,,,,,,,,,,,,1,1,,,,,,,,,16,4,,,14,0,,,23,2,,,,,2,1,7,1,11,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,19,0,4,0,,,,,,,,,,,,,,,,,,,,,10,0,2,0,,,,,,,,,,,1,1,,,1,0,,,,,,,,,,,,,,,,
25,65,2017-Kudo-Lancet Oncol,Nivolumab,PD-1,GI cancer,65,3 mg/kg Q2W,6,6,47,11,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,0,0,,,,,,,1,1,,,,,,,6,2,2,2,,,,,9,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,1,1,1,1,,
26,268,2017-Larkin-J Clin Oncol,Nivolumab,PD-1,Melanoma,268,3 mg/kg Q2W,13,13,206,37,,,,,,,14,0,,,86,3,59,0,,,,,,,,,,,,,,,,,,,,,,,15,0,,,,,,,18,0,,,33,0,,,49,1,,,,,,,16,3,20,2,,,,,,,,,,,,,,,,,,,,,,,,,22,0,36,1,19,1,,,15,0,29,0,,,,,,,15,0,,,,,,,19,0,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,
27,17,2017-Maruyama-Cancer Sci,Nivolumab,PD-1,Hematologic malignancy,17,3 mg/kg Q2W,1,1,17,4,,,,,,,,,,,3,0,6,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,2,0,,,6,1,,,,,,,,,,,4,0,2,0,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
28,37,2017-Morris-Lancet Oncol,Nivolumab,PD-1,GI cancer,37,3 mg/kg Q2W,0,0,,,,,,,,,,,,,25,1,,,6,0,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,9,0,,,2,0,,,8,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,11,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,4,0,,,,,,,,,26,2,,,,,,,,
29,74,2017-Overman-Lancet Oncol,Nivolumab,PD-1,GI cancer,74,3 mg/kg Q2W,7,7,51,15,,,,,,,4,0,,,17,1,10,0,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,7,0,,,16,1,,,2,1,1,1,4,1,5,0,,,1,1,,,9,6,4,2,,,,,,,1,1,,,,,,,4,0,8,0,5,1,,,4,0,,,,,,,,,5,0,,,,,,,7,0,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,2,1,,,,,,
30,270,2017-Sharma-Lancet Oncol,Nivolumab,PD-1,GU cancer,270,3 mg/kg Q2W,13,13,170,47, ,,,,,,15,0,,,45,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,,,19,1,,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,16,4,,,,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,452,2017-Weber-N Engl J Med,Nivolumab,PD-1,Melanoma,452,3 mg/kg Q2W,45,45,385,65,,,,,,,7,0,,,156,2,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1,,,110,7,,,29,0,,,28,5,25,2,,,,,,,,,,,,,,,,,,,,,,,,,57,1,90,5,24,0,,,,,,,,,44,1,,,57,1,,,,,,,49,1,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,14,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,3,1 mg/kg Q2W,1,1,3,0,,,,,,,1,0,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,0,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,1,0,,,,,,
32,,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,5,3 mg/kg Q2W,1,1,5,1,,,,,,,1,0,,,1,0,1,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1,0,1,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,0,0,,,,,,,2,1,,,,,,
32,,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,6,10 mg/kg Q2W,1,1,6,0,,,,,,,2,0,,,2,0,2,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,1,0,2,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,2,0,,,,,,,5,0,,,,,,
33,23,2017-Yamazaki-Cancer Sci,Nivolumab,PD-1,Melanoma,23,3 mg/kg Q2W,2,2,20,3,0,0,,,,,,,,,,,6,0,3,0,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,3,0,,,,,9,0,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,243,2018-Armand-J Clin Oncol,Nivolumab,PD-1,Hematologic malignancy,243,3 mg/kg Q2W,24,4,,,34,1,,,,,22,0,,,56,2,25,0,,,,,,,,,,,,,,,,,,,,,,,10,1,15,0,5,3,,,,,,,25,0,21,1,37,2,11,0,18,2,,,18,8,17,5,6,1,,,,,17,11,11,5,,,,,,,,,12,0,,,6,0,20,0,29,2,,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,15,8,,,,
35,42,2018-D'Angelo-Lancet Oncol,Nivolumab,PD-1,Other cancer,42,3 mg/kg Q2W,4,0,,3,,,,,,,4,0,,,25,1,0,0,,,,,,,,,,,,,,,,,0,0,,,,,10,0,13,0,,,0,0,,,2,2,12,0,1,1,5,1,6,1,,,,,0,0,0,0,0,0,,,,,2,2,,,,,,,,,25,2,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,0,0,,,,,0,0,,,1,1,,,1,1,12,4,,,,,,,,
36,22,2018-Forde-N Engl J Med,Nivolumab,PD-1,Lung cancer,22,3 mg/kg Q2W,0,0,5,1,1,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,129,2018-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,129,mixed,0,0,91,22,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,391,2018-Hellmann-N Engl J Med,Nivolumab,PD-1,Lung cancer,391,240 mg Q2W,39,39,251,74,,,,,,,,,,,43,2,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,,,21,1,10,1,44,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3,,,,,,,,,,,,,,,29,2,,,,,,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,1,0,,,,
39,313,2018-Hodi-Lancet Oncol,Nivolumab,PD-1,Melanoma,313,3 mg/kg Q2W,31,6,270,71,,,,,,,21,0,,,114,3,69,1,,,,,,,,,,,,,,,,,,,,,,,19,1,,,,,,,35,0,1,0,41,0,22,1,69,9,,,,,8,3,13,4,14,3,,,,,,,29,16,21,7,,,0,0,2,1,,,,,,,,,32,1,74,1,16,2,,,,,31,1,,,24,0,,,,,,,,,,,32,0,14,0,,,,,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,
40,59,2018-Janjigian-J Clin Oncol,Nivolumab,PD-1,GI cancer,59,3 mg/kg Q2W,8,8,41,10,,,,,,,,,,,20,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,,,,,9,1,,,,,,,5,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100,2018-Lee-Lung Cancer,Nivolumab,PD-1,Lung cancer,100,3 mg/kg Q2W,0,0,,,1,0,1,0,,,,,,,,,19,0,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,8,1,,,,,,,8,3,7,2,,,2,1,,,,,,,1,0,,,,,,,,,,,,,,,9,0,,,1,0,,,,,,,,,,,,,,,,,1,0,3,0,2,0,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
42,41,2018-Long-Lancet Oncol,Nivolumab,PD-1,Melanoma,41,3 mg/kg Q2W,4,0,29,4,,,,,,,,,,,10,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,6,2,,,,,0,0,,,,,8,0,6,0,,,,,,,3,0,,,6,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,45,2018-Ma-J Clin Oncol,Nivolumab,PD-1,Other cancer,45,3 mg/kg Q2W,0,0,,10,,,,,,,,,,,15,1,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,5,1,,,,,1,1,4,2,6,1,,,,,,,,,3,0,,,,,,,,,4,0,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,
44,10,2018-Omuro-Neuro Oncol,Nivolumab,PD-1,Other cancer,10,3 mg/kg Q2W,1,1,9,0,,,,,,,0,0,,,3,0,2,0,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,,,,,0,0,,,3,0,1,0,1,0,,,,,0,0,0,0,0,0,,,,,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,2,0,0,0,,,,,,,,,2,0,1,0,0,0,,,,,,,2,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
45,34,2018-Quispel-Janssen-J Thorac Oncol,Nivolumab,PD-1,Other cancer,34,3 mg/kg Q2W,0,0,26,9,2,0,,,,,3,0,,,10,0,5,0,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,3,1,1,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,109,2018-Ready-J Thorac Oncol,Nivolumab,PD-1,Lung cancer,109,3 mg/kg Q2W,5,5,60,13,,,,,,,,,,,11,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,8,0,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,495,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,6,2 mg/kg Q3W,0,0,,,0,,,,,,0,,0,,0,,1,,1,,,,,,,,,,,,,,,,,,,,0,,1,,0,,,,,,0,,,,0,,0,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,,,0,,,,,,0,,,,0,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
47,,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,287,10 mg/kg Q3W,5,5,,,3,,,,,,12,,6,,62,,31,,8,,,,,,,,,,,,,,,,,,,,13,,11,,8,,,,,,36,,,,23,,8,,26,,4,,,,,,7,,10,,,,,,,,,,,,,,,,,,,,7,,,,,,25,,30,,2,,,,7,,,,,,6,,,,12,,,,,,,,14,,6,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
47,,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,202,10 mg/kg Q2W,4,4,,,7,,,,,,9,,4,,34,,21,,10,,,,,,,,,,,,,,,,,,,,5,,9,,4,,,,,,16,,,,14,,6,,14,,6,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,6,,,,,,20,,18,,4,,,,11,,,,,,3,,,,12,,,,,,,,19,,3,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
48,41,2015-Le-N Engl J Med,Pembrolizumab,PD-1,Mixed cancer types,41,10 mg/kg Q2W,2,2,40,17,,,,,,,5,0,6,0,13,0,,,,,3,0,,,,,5,0,,,,,,,,,,,1,0,6,0,4,0,,,,,4,0,,,5,0,,,10,2,8,0,10,0,,,3,2,,,,,,,6,0,,,,,,,,,,,14,0,6,0,,,,,7,0,,,,,,,5,0,,,,,7,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,8,,,3,3,,
49,23,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,10,10 mg/kg Q2W,0,0,4,0,,,,,,,,,,,4,0,1,0,1,0,0,0,,,,,,,,,,,,,1,0,,,0,0,0,0,,,,,,,2,0,,,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,7,2 mg/kg Q3W,0,0,7,0,,,,,,,,,,,3,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,,,0,0,1,0,,,,,,,0,0,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,,,,,,,,,1,0,,,,,,,,,1,0,0,0,0,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,6,10 mg/kg Q3W,0,0,4,0,,,,,,,,,,,2,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,,,0,0,0,0,,,,,,,2,0,,,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,0,0,,,,,,,,,0,0,1,0,0,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,357,2015-Ribas-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,178,2 mg/kg Q3W,8,8,120,19,,,,,,,,,,,40,2,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,8,0,2,1,15,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,13,1,21,0,5,1,,,9,0,10,0,5,0,,,,,6,1,,,2,0,,,9,0,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,,,1,0,,,,
50,,2015-Ribas-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,179,10 mg/kg Q3W,8,8,132,25,,,,,,,,,,,52,1,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,,,16,1,10,1,19,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,11,1,18,0,10,1,,,9,0,9,0,1,0,,,,,8,1,,,0,0,,,13,0,,,,,,,,,,,,,,,,,,,,,,,1,0,7,0,,,1,0,,,,
51,555,2015-Robert-N Engl J Med,Pembrolizumab,PD-1,Melanoma,278,10 mg/kg Q2W,2,2,221,37,,,2,0,2,0,11,0,3,0,58,0,40,0,3,0,6,0,,,1,0,20,0,,,1,0,3,2,,,3,0,1,0,4,0,10,0,,,,,17,0,,,28,0,10,1,47,7,7,0,10,0,4,4,12,0,14,0,2,0,,,,,,,,,6,0,3,3,,,,,19,1,6,1,7,0,26,0,41,0,10,0,8,0,6,0,25,0,4,0,9,0,8,0,32,1,10,0,,,,,28,1,17,0,3,0,2,0,1,1,,,1,1,,,,,,,4,0,,,,,3,2,,,3,0,,,,
51,,2015-Robert-N Engl J Med,Pembrolizumab,PD-1,Melanoma,277,10 mg/kg Q3W,2,2,202,28,,,3,0,6,0,3,0,0,0,53,1,39,0,3,0,1,0,,,3,0,11,0,,,3,0,1,1,,,1,0,5,1,8,1,12,0,,,,,18,0,,,31,1,5,0,40,3,5,0,5,0,8,5,4,1,6,1,3,0,,,,,,,,,1,0,5,5,,,,,6,0,1,1,5,0,32,1,37,0,6,1,3,0,8,0,31,0,1,0,6,0,1,0,31,0,5,0,,,,,24,0,7,0,3,0,3,0,2,1,,,1,1,,,,,,,3,0,,,,,6,0,,,1,0,,,,
52,31,2016-Armand-J Clin Oncol,Pembrolizumab,PD-1,Hematologic malignancy,31,10 mg/kg Q2W,1,1,21,5,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,,,,,,,2,0,,,4,0,2,0,5,0,2,0,,,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,0,,,,,2,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,132,2016-Chow-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,132,200 mg Q3W,13,13,82,12,,,,,,,,,,,28,0,,,,,,,,,,,,,2,1,,,,,,,,,4,2,,,,,,,,,11,2,1,1,7,1,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,1,1,,,2,1,,,,,,,,,,,,,,,,,,
54,682,2016-Herbst-Lancet,Pembrolizumab,PD-1,Lung cancer,339,2 mg/kg Q3W,3,3,215,43,1,0,1,0,1,0,10,1,2,0,46,4,25,0,5,0,1,0,4,0,,,5,0,13,0,1,0,,,1,0,5,0,14,6,7,2,9,0,5,3,,,46,3,0,0,37,1,12,0,24,2,13,0,5,0,4,3,16,2,10,2,3,0,4,0,3,2,,,,,,,1,1,,,2,0,9,0,2,0,5,1,13,0,29,1,6,1,,,4,0,,,3,0,8,0,5,0,20,1,4,0,2,0,2,0,25,0,10,0,,,3,0,1,1,2,0,1,1,,,,,,,6,0,0,0,,,10,3,4,0,1,0,,,0,0
54,,2016-Herbst-Lancet,Pembrolizumab,PD-1,Lung cancer,343,10 mg/kg Q3W,3,3,226,55,4,0,0,0,6,0,14,0,4,0,49,6,32,0,10,1,5,0,10,0,,,3,0,7,1,1,0,,,2,0,4,0,12,6,14,2,2,0,5,3,,,33,1,2,0,31,2,13,1,22,0,10,0,2,0,2,1,8,1,7,0,8,2,1,1,0,0,,,,,,,2,0,,,2,0,10,0,4,0,4,0,19,2,44,1,3,0,,,14,0,,,2,0,6,0,6,0,19,2,7,0,3,0,0,0,23,0,15,1,,,4,0,1,1,3,1,2,1,,,,,,,7,0,3,0,,,14,1,2,0,1,0,,,3,2
55,36,2016-Goldberg-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,18,10 mg/kg Q2W,0,0,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,2,0,,,,,,,,,,,,,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,2016-Goldberg-Lancet Oncol,Pembrolizumab,PD-1,Lung cancer,18,10 mg/kg Q2W,0,0,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,0,,,,,,,,,,,,,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,39,2016-Muro-Lancet Oncol,Pembrolizumab,PD-1,GI cancer,39,10 mg/kg Q2W,3,3,26,5,,,,,,,,,,,7,2,5,0,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,3,1,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,32,2016-Nanda-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,32,10 mg/kg Q2W,1,0,18,5,,,,,,,1,1,,,6,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,4,0,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,6,0,,,,,6,0,,,,,2,0,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,
58,26,2016-Nghiem-N Engl J Med,Pembrolizumab,PD-1,Other cancer,26,2 mg/kg Q3W,0,0,20,4,,,,,,,,,2,0,12,0,1,0,1,0,,,,,,,1,0,,,,,2,0,2,0,,,1,0,,,2,0,,,,,1,0,,,1,0,,,1,0,,,,,,,2,2,4,3,1,0,,,,,,,,,,,,,,,,,2,0,,,,,1,0,1,0,,,,,,,,,2,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,,1,0,1,0,,,,,2,2,,
59,154,2016-Reck-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,154,200 mg Q3W,15,15,113,41,,,,,,,16,0,,,16,2,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,14,0,,,15,0,4,1,22,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,8,3,,,1,0,,,,
60,655,2016-Ribas-JAMA,Pembrolizumab,PD-1,Melanoma,655,mixed,32,32,544,92,,,,,,,42,1,41,0,245,12,174,2,,,,,,,,,,,,,,,,,,,,,,,41,4,48,1,,,,,56,1,,,97,2,33,3,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,,,,,107,0,161,4,,,,,,,69,0,,,51,2,,,63,4,,,,,,,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
